user_id,apply_date,label,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47
uid50,2021-06-22,0,0.0,3.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,3.0,8.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,7.0,6.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,5.0,0.0,0.0,3.0,3.0
uid51,2021-06-28,0,1.0,7.0,0.0,2.0,3.0,9.0,0.0,1.0,0.0,5.0,9.0,4.0,0.0,2.0,4.0,3.0,7.0,1.0,5.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,3.0,6.0,5.0,4.0,4.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,6.0,6.0,0.0,4.0,0.0,0.0
uid52,2021-07-01,0,0.0,0.0,0.0,2.0,6.0,2.0,6.0,0.0,5.0,2.0,7.0,2.0,2.0,0.0,1.0,3.0,5.0,1.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,5.0,6.0,5.0,4.0,4.0,8.0,8.0,7.0,0.0,8.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,8.0,9.0,9.0
uid53,2021-06-22,0,3.0,7.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0,3.0,4.0,4.0,1.0,4.0,2.0,0.0,6.0,2.0,1.0,0.0,0.0,4.0,5.0,6.0,4.0,43.0,4.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0
uid54,2021-07-04,1,3.0,6.0,1.0,4.0,5.0,8.0,0.0,4.0,3.0,5.0,4.0,3.0,1.0,4.0,5.0,3.0,7.0,3.0,6.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,4.0,6.0,4.0,2.0,6.0,2.0,6.0,3.0,0.0,6.0,0.0,0.0,6.0,3.0,6.0,5.0,5.0,0.0,3.0,5.0,8.0
uid55,2021-06-22,0,0.0,8.0,0.0,2.0,3.0,9.0,1.0,0.0,5.0,6.0,7.0,7.0,1.0,1.0,2.0,7.0,9.0,2.0,6.0,1.0,0.0,7.0,4.0,0.0,0.0,2.0,6.0,7.0,4.0,4.0,2.0,4.0,5.0,4.0,0.0,7.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,4.0,6.0,9.0
uid56,2021-07-06,0,0.0,7.0,0.0,0.0,3.0,9.0,6.0,0.0,0.0,5.0,9.0,3.0,0.0,0.0,3.0,5.0,8.0,2.0,5.0,1.0,0.0,7.0,3.0,0.0,0.0,1.0,4.0,7.0,4.0,4.0,4.0,5.0,6.0,4.0,1.0,0.0,0.0,0.0,6.0,0.0,5.0,5.0,5.0,0.0,6.0,0.0,0.0
uid57,2021-06-19,0,1.0,3.0,0.0,1.0,1.0,7.0,0.0,0.0,2.0,5.0,3.0,5.0,1.0,0.0,0.0,3.0,7.0,1.0,5.0,1.0,0.0,7.0,3.0,1.0,0.0,1.0,4.0,6.0,5.0,5.0,7.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0,5.0
uid58,2021-06-20,0,1.0,3.0,0.0,1.0,1.0,7.0,0.0,0.0,2.0,5.0,4.0,5.0,1.0,0.0,0.0,3.0,7.0,1.0,5.0,1.0,0.0,7.0,3.0,1.0,0.0,1.0,4.0,6.0,4.0,5.0,7.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0,5.0
uid59,2021-07-02,0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,7.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uid60,2021-07-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uid61,2021-06-22,0,0.0,3.0,1.0,0.0,0.0,8.0,1.0,0.0,3.0,4.0,9.0,5.0,0.0,0.0,0.0,2.0,8.0,0.0,4.0,3.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,5.0,5.0,6.0,5.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,4.0,3.0,0.0,8.0,7.0,8.0
uid62,2021-06-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
uid63,2021-06-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
uid64,2021-06-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
uid65,2021-06-29,0,2.0,6.0,0.0,2.0,3.0,9.0,3.0,0.0,0.0,5.0,9.0,4.0,0.0,2.0,4.0,7.0,9.0,2.0,5.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,5.0,7.0,3.0,4.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,4.0,0.0,3.0,0.0,0.0
uid66,2021-06-21,0,1.0,6.0,5.0,1.0,5.0,8.0,0.0,0.0,9.0,5.0,8.0,3.0,0.0,1.0,4.0,5.0,7.0,3.0,5.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,5.0,7.0,4.0,4.0,1.0,5.0,6.0,6.0,0.0,6.0,0.0,0.0,6.0,5.0,5.0,4.0,4.0,6.0,8.0,7.0,9.0
