user_id,apply_date,label,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47
uid40,2021-06-25,0,2.0,5.0,0.0,3.0,4.0,7.0,0.0,0.0,5.0,2.0,4.0,5.0,1.0,2.0,4.0,6.0,8.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,1.0,5.0,6.0,7.0,6.0,2.0,5.0,6.0,3.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,3.0,9.0,7.0
uid41,2021-06-24,0,2.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,4.0,3.0,4.0,7.0,1.0,1.0,1.0,7.0,9.0,1.0,4.0,4.0,2.0,2.0,2.0,0.0,1.0,5.0,6.0,8.0,6.0,5.0,2.0,5.0,7.0,2.0,0.0,3.0,0.0,0.0,4.0,5.0,0.0,0.0,5.0,0.0,3.0,6.0,5.0
uid42,2021-06-30,0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,6.0,11.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0
uid43,2021-07-06,0,3.0,7.0,0.0,3.0,4.0,9.0,0.0,0.0,1.0,5.0,9.0,3.0,0.0,3.0,4.0,3.0,6.0,3.0,5.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,6.0,7.0,3.0,2.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,6.0,5.0,0.0,6.0,6.0,7.0
uid44,2021-06-27,1,0.0,4.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,4.0,9.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,4.0,6.0,4.0,4.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,3.0,2.0,0.0,2.0,7.0,6.0
uid45,2021-06-26,0,2.0,5.0,0.0,3.0,5.0,8.0,0.0,4.0,3.0,5.0,8.0,4.0,0.0,3.0,5.0,4.0,7.0,3.0,5.0,2.0,1.0,3.0,3.0,0.0,1.0,2.0,3.0,7.0,5.0,6.0,4.0,4.0,4.0,5.0,2.0,5.0,0.0,0.0,4.0,0.0,5.0,4.0,4.0,0.0,7.0,6.0,7.0
uid46,2021-06-19,0,1.0,3.0,0.0,2.0,3.0,6.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,3.0,5.0,5.0,5.0,4.0,0.0,5.0,0.0,0.0,7.0,3.0,0.0,5.0,0.0,5.0,5.0,5.0,7.0,0.0,8.0,9.0
uid47,2021-06-25,0,1.0,6.0,1.0,4.0,6.0,9.0,1.0,4.0,2.0,5.0,7.0,2.0,1.0,4.0,7.0,4.0,7.0,3.0,6.0,1.0,0.0,6.0,3.0,0.0,0.0,1.0,3.0,6.0,1.0,5.0,4.0,4.0,8.0,1.0,0.0,5.0,0.0,0.0,5.0,3.0,5.0,3.0,3.0,0.0,1.0,3.0,6.0
uid48,2021-07-04,0,3.0,7.0,0.0,3.0,3.0,8.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,1.0,2.0,6.0,8.0,1.0,5.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,5.0,7.0,3.0,3.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0
uid49,2021-06-26,0,0.0,3.0,0.0,2.0,2.0,8.0,3.0,0.0,0.0,5.0,7.0,2.0,2.0,0.0,0.0,3.0,6.0,1.0,5.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,6.0,1.0,4.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0
